15499406.872884, 731477.17866628
15499763.177416, 731575.58951643
15499723.821132, 731645.12772843
15499650.040327, 731627.51157714
15499610.204784, 731625.62835403
15499701.249239, 731381.24127165
15499759.553201, 731450.797096
15499770.344267, 731485.27614106
15499802.472855, 731513.79648557
15499848.398171, 731411.18484541
15499754.614245, 731447.19206745
15499721.01811, 731455.71531222
15499580.091618, 731476.16192703
15499554.853892, 731490.28079191
15499545.401338, 731513.54738459
15499522.594427, 731581.54755923
15499514.505348, 731612.74058491
15499364.524603, 731597.82540779
15499435.687562, 731419.5066382
15499341.275101, 731670.82128697
15499269.646281, 731687.83621065
15499217.838894, 731703.5389739
15499563.692153, 731520.49095201
15499516.768723, 731507.53089402
15499464.113817, 731492.98799101
15499521.622205, 731508.87139923
15499544.710429, 731515.24826144
15499544.820631, 731515.27869881
15499540.115784, 731513.97923867
15499413.350534, 731478.96770564
15499753.452576, 731572.90341431
15499698.699628, 731557.78023433
15499731.608949, 731631.36765243
15499730.020903, 731634.17353086
15499723.821131, 731645.12771578
15499650.040027, 731627.51149284
15499756.064633, 731446.63523977
15499756.195282, 731446.79110478
15499759.050291, 731450.19713193
15499716.735675, 731399.7162081
15499759.553421, 731450.79736676
15499799.595092, 731511.24178512
15499770.344405, 731485.27614802
15499758.016256, 731445.88594818
15499733.481462, 731452.55355052
15499754.613313, 731447.19244828
15499580.091241, 731476.16196219
15499551.416715, 731498.7413937
15499540.025156, 731529.57687381
15499545.400561, 731513.54957485
15499518.800514, 731596.17700703
15499522.5938, 731581.54930358
15499505.466205, 731611.84166438
15499512.20875, 731612.51219816
15499514.505176, 731612.74057366
15499368.548548, 731598.22558026
15499381.622241, 731563.42555087
15499362.650468, 731613.92511968
15499369.786407, 731594.93062589
15499390.596426, 731539.53741528
15499404.853957, 731501.58514572
15499370.319348, 731593.51203309
15499343.26617, 731665.52154393
15499269.645347, 731687.83639585
